emission,spot,station,echeance,lead_h,prevu_kn,mesure_kn,erreur_kn
202609040900,preverenges,PRE,202609042300,14.0,3.0,1.3,1.7
202609040900,bouveret,BOU,202609042300,14.0,1.7,2.2,-0.5
202609040900,joux,CHB,202609042300,14.0,3.2,2.5,0.7
202609030500,cologny,GVE,202609050100,44.0,2.2,2.5,-0.3
202609030500,reposoir,GVE,202609050100,44.0,1.8,2.5,-0.7
202609030500,vengeron,GVE,202609050100,44.0,1.8,2.5,-0.7
202609030500,coppet,CGI,202609050100,44.0,1.6,2.7,-1.1
202609030500,nyon,CGI,202609050100,44.0,2.2,2.7,-0.5
202609030500,preverenges,PRE,202609050100,44.0,2.5,1.7,0.8
202609030500,bouveret,BOU,202609050100,44.0,2.0,1.9,0.1
202609030500,joux,CHB,202609050100,44.0,3.3,1.3,2.0
202609040900,cologny,GVE,202609050100,16.0,2.4,2.5,-0.1
202609040900,reposoir,GVE,202609050100,16.0,2.0,2.5,-0.5
202609040900,vengeron,GVE,202609050100,16.0,2.0,2.5,-0.5
202609040900,coppet,CGI,202609050100,16.0,2.0,2.7,-0.7
202609040900,nyon,CGI,202609050100,16.0,2.1,2.7,-0.6
202609040900,preverenges,PRE,202609050100,16.0,2.9,1.7,1.2
202609040900,bouveret,BOU,202609050100,16.0,1.8,1.9,-0.1
202609040900,joux,CHB,202609050100,16.0,3.0,1.3,1.7
202609030500,cologny,GVE,202609050600,49.0,1.8,1.7,0.1
202609030500,reposoir,GVE,202609050600,49.0,1.4,1.7,-0.3
202609030500,vengeron,GVE,202609050600,49.0,1.4,1.7,-0.3
202609030500,coppet,CGI,202609050600,49.0,1.7,3.5,-1.8
202609030500,nyon,CGI,202609050600,49.0,1.6,3.5,-1.9
202609030500,preverenges,PRE,202609050600,49.0,2.4,1.6,0.8
202609030500,bouveret,BOU,202609050600,49.0,2.1,4.1,-2.0
202609030500,joux,CHB,202609050600,49.0,3.1,1.2,1.9
202609040900,cologny,GVE,202609050600,21.0,2.4,1.7,0.7
202609040900,reposoir,GVE,202609050600,21.0,1.8,1.7,0.1
202609040900,vengeron,GVE,202609050600,21.0,1.8,1.7,0.1
202609040900,coppet,CGI,202609050600,21.0,2.0,3.5,-1.5
202609040900,nyon,CGI,202609050600,21.0,1.7,3.5,-1.8
202609040900,preverenges,PRE,202609050600,21.0,2.5,1.6,0.9
202609040900,bouveret,BOU,202609050600,21.0,2.2,4.1,-1.9
202609040900,joux,CHB,202609050600,21.0,2.6,1.2,1.4
